# The joyo (Japan general use) kanji with their meanings and readings.
# are subsets of Unihan deemed to be general use (e.g. obscure meanings and readings are left out).
# Copied from https://en.wikipedia.org/wiki/List_of_j%C5%8Dy%C5%8D_kanji, which was copied from https://www.bunka.go.jp/kokugo_nihongo/sisaku/joho/joho/kijun/naikaku/pdf/joyokanjihyo_20101130.pdf.
number,new,old,radical,strokes,grade,year_added,English_meaning,on-yomi,kun-yomi
506,欠,缺,缶,4,4,,lack,ケツ,か-ける|か-く
507,穴,,穴,5,6,,hole,ケツ,あな
508,血,,血,6,3,,blood,ケツ,ち
509,決,,水,7,3,,decide,ケツ,き-める|き-まる
510,結,,糸,12,4,,tie,ケツ,むす-ぶ|ゆ-う|ゆ-わえる
511,傑,,人,13,S,,greatness,ケツ,
512,潔,,水,15,5,,undefiled,ケツ,いさぎよ-い
513,月,,月,4,1,,month|moon,ゲツ|ガツ,つき
514,犬,,犬,4,1,,dog,ケン,いぬ
515,件,,人,6,5,,affair,ケン,
516,見,,見,7,1,,see,ケン,み-る|み-える|み-せる
517,券,,刀,8,5,,ticket,ケン,
518,肩,,肉,8,S,,shoulder,ケン,かた
519,建,,廴,9,4,,build,ケン|（コン）,た-てる|た-つ
520,研,硏,石,9,3,,sharpen,ケン,と-ぐ
521,県,縣,糸,9,3,,prefecture,ケン,
522,倹,儉,人,10,S,,frugal,ケン,
523,兼,,八,10,S,,concurrently,ケン,か-ねる
524,剣,劍,刀,10,S,,sabre,ケン,つるぎ
525,拳,,手,10,S,2010,fist,ケン,こぶし
526,軒,,車,10,S,,flats,ケン,のき
527,健,,人,11,4,,healthy,ケン,すこ-やか
528,険,險,阜,11,5,,precipitous,ケン,けわ-しい
529,圏,圈,囗,12,S,,sphere,ケン,
530,堅,,土,12,S,,strict,ケン,かた-い
531,検,檢,木,12,5,,examine,ケン,
532,嫌,,女,13,S,1981,dislike,ケン|（ゲン）,きら-う|いや
533,献,獻,犬,13,S,,offering,ケン|（コン）
534,絹,,糸,13,6,,silk,ケン,きぬ
535,遣,,辵,13,S,,dispatch,ケン,つか-う|つか-わす
536,権,權,木,15,6,,rights,ケン|（ゴン）
537,憲,,心,16,6,,constitution,ケン,
538,賢,,貝,16,S,,intelligent,ケン,かしこ-い
539,謙,,言,17,S,,self-effacing,ケン,
540,鍵,,金,17,S,2010,key,ケン,かぎ
541,繭,,糸,18,S,,cocoon,ケン,まゆ
542,顕,顯,頁,18,S,,appear,ケン,
543,験,驗,馬,18,4,,test,ケン|（ゲン）
544,懸,,心,20,S,,suspend,ケン|（ケ）,か-ける|か-かる
545,元,,儿,4,2,,origin,ゲン|ガン,もと
546,幻,,幺,4,S,,phantasm,ゲン,まぼろし
547,玄,,玄,5,S,,mysterious,ゲン,
548,言,,言,7,2,,say,ゲン|ゴン,い-う|こと
549,弦,,弓,8,S,,bowstring,ゲン,つる
550,限,,阜,9,5,,limit,ゲン,かぎ-る
551,原,,厂,10,2,,field,ゲン,はら
552,現,,玉,11,5,,appear,ゲン,あらわ-れる|あらわ-す
553,舷,,舟,11,S,2010,gunwale,ゲン,
554,減,,水,12,5,,decrease,ゲン,へ-る|へ-らす
555,源,,水,13,6,,origin,ゲン,みなもと
556,厳,嚴,口,17,6,,strict,ゲン|（ゴン）,おごそ-か|きび-しい
557,己,,己,3,6,,self,コ|キ,おのれ
558,戸,,戶,4,2,,door,コ,と
559,古,,口,5,2,,old,コ,ふる-い|ふる-す
560,呼,,口,8,6,,call,コ,よ-ぶ
561,固,,囗,8,4,,hard,コ,かた-める|かた-まる|かた-い
562,股,,肉,8,S,2010,crotch,コ,また
563,虎,,虍,8,S,2010,tiger,コ,とら
564,孤,,子,9,S,,orphan,コ,
565,弧,,弓,9,S,,arc,コ,
566,故,,攴,9,5,,circumstances,コ,ゆえ
567,枯,,木,9,S,,wither,コ,か-れる|か-らす
568,個,,人,10,5,,individual,コ,
569,庫,,广,10,3,,warehouse,コ|（ク）
570,湖,,水,12,3,,lake,コ,みずうみ
571,雇,,隹,12,S,,employ,コ,やと-う
572,誇,,言,13,S,,boast,コ,ほこ-る
573,鼓,,鼓,13,S,,drum,コ,つづみ
574,錮,,金,16,S,2010,tie up,コ,
575,顧,,頁,21,S,,look back,コ,かえり-みる
576,五,,二,4,1,,five,ゴ,いつ|いつ-つ
577,互,,二,4,S,,mutually,ゴ,たが-い
578,午,,十,4,2,,noon,ゴ,
579,呉,,口,7,S,,give,ゴ,
580,後,,彳,9,2,,behind,ゴ|コウ,のち|うし-ろ|あと|おく-れる
581,娯,,女,10,S,,recreation,ゴ,
582,悟,,心,10,S,,enlightenment,ゴ,さと-る
583,碁,,石,13,S,,Go,ゴ,
584,語,,言,14,2,,language,ゴ,かた-る|かた-らう
585,誤,,言,14,6,,mistake,ゴ,あやま-る
586,護,,言,20,5,,safeguard,ゴ,
587,口,,口,3,1,,mouth,コウ|ク,くち
588,工,,工,3,2,,craft,コウ|ク,
589,公,,八,4,2,,public,コウ,おおやけ
590,勾,,勹,4,S,2010,capture,コウ,
591,孔,,子,4,S,,cavity,コウ,
592,功,,力,5,4,,achievement,コウ|（ク）
593,巧,,工,5,S,,adroit,コウ,たく-み
594,広,廣,广,5,2,,wide,コウ,ひろ-い|ひろ-まる|ひろ-める|ひろ-がる|ひろ-げる
595,甲,,田,5,S,,armor,コウ|カン,
596,交,,亠,6,2,,mix,コウ,まじ-わる|まじ-える|ま-じる|ま-ざる|ま-ぜる|か-う|か-わす
597,光,,儿,6,2,,ray,コウ,ひか-る|ひかり
598,向,,口,6,3,,over there,コウ,む-く|む-ける|む-かう|む-こう
599,后,,口,6,6,,empress,コウ,
600,好,,女,6,4,,like,コウ,この-む|す-く
601,江,,水,6,S,,inlet,コウ,え
602,考,,老,6,2,,think,コウ,かんが-える
603,行,,行,6,2,,go,コウ|ギョウ|（アン）,い-く|ゆ-く|おこな-う
604,坑,,土,7,S,,pit,コウ,
605,孝,,子,7,6,,filial piety,コウ,
606,抗,,手,7,S,,confront,コウ,
607,攻,,攴,7,S,,aggression,コウ,せ-める
608,更,,曰,7,S,,grow late,コウ,さら|ふ-ける|ふ-かす
609,効,效,力,8,5,,effect,コウ,き-く
610,幸,,干,8,3,,happiness,コウ,さいわ-い|さち|しあわ-せ
611,拘,,手,8,S,,arrest,コウ,
612,肯,,肉,8,S,,agreement,コウ,
613,侯,,人,9,S,,marquis,コウ,
614,厚,,厂,9,5,,thick,コウ,あつ-い
615,恒,恆,心,9,S,,constancy,コウ,
616,洪,,水,9,S,1981,deluge,コウ,
617,皇,,白,9,6,,emperor,コウ|オウ,
618,紅,,糸,9,6,,deep red,コウ|（ク）,べに|くれない
619,荒,,艸,9,S,,laid waste,コウ,あら-い|あ-れる|あ-らす
620,郊,,邑,9,S,,outskirts,コウ,
621,香,,香,9,S,,incense,コウ|（キョウ）,か|かお-り|かお-る
622,候,,人,10,4,,climate,コウ,そうろう
623,校,,木,10,1,,school,コウ,
624,耕,,耒,10,5,,till,コウ,たがや-す
625,航,,舟,10,4,,cruise,コウ,
626,貢,,貝,10,S,,tribute,コウ|（ク）,みつ-ぐ
627,降,,阜,10,6,,descend,コウ,お-りる|お-ろす|ふ-る
628,高,,高,10,2,,tall|expensive,コウ,たか-い|たか|たか-まる|たか-める
629,康,,广,11,4,,health,コウ,
630,控,,手,11,S,,withdraw,コウ,ひか-える
631,梗,,木,11,S,2010,close up,コウ,
632,黄,黃,黃,11,2,,yellow,コウ|オウ,き|（こ）
633,喉,,口,12,S,2010,throat,コウ,のど
634,慌,,心,12,S,,disconcerted,コウ,あわ-てる|あわ-ただしい
635,港,,水,12,3,,harbor,コウ,みなと
636,硬,,石,12,S,,stiff,コウ,かた-い
637,絞,,糸,12,S,,strangle,コウ,しぼ-る|し-める|し-まる
638,項,,頁,12,S,,paragraph,コウ,
639,溝,,水,13,S,1981,gutter,コウ,みぞ
640,鉱,鑛,金,13,5,,mineral,コウ,
641,構,,木,14,5,,construct,コウ,かま-える|かま-う
642,綱,,糸,14,S,,hawser,コウ,つな
643,酵,,酉,14,S,,fermentation,コウ,
644,稿,,禾,15,S,,draft,コウ,
645,興,,臼,16,5,,entertain,コウ|キョウ,おこ-る|おこ-す
646,衡,,行,16,S,,equilibrium,コウ,
647,鋼,,金,16,6,,steel,コウ,はがね
648,講,,言,17,5,,lecture,コウ,
649,購,,貝,17,S,,subscription,コウ,
650,乞,,乙,3,S,2010,beg,,こ-う
651,号,號,虍,5,3,,number,ゴウ,
652,合,,口,6,2,,fit,ゴウ|ガッ|（カッ）,あ-う|あ-わす|あ-わせる
653,拷,,手,9,S,,torture,ゴウ,
654,剛,,刀,10,S,,sturdy,ゴウ,
655,傲,,人,13,S,2010,be proud,ゴウ,
656,豪,,豕,14,S,,overpowering,ゴウ,
657,克,,儿,7,S,,overcome,コク,
658,告,,口,7,4,,tell,コク,つ-げる
659,谷,,谷,7,2,,valley,コク,たに
660,刻,,刀,8,6,,engrave,コク,きざ-む
661,国,國,囗,8,2,,country,コク,くに
662,黒,黑,黑,11,2,,black,コク,くろ|くろ-い
663,穀,穀,禾,14,6,,cereals,コク,
664,酷,,酉,14,S,,cruel,コク,
665,獄,,犬,14,S,,prison,ゴク,
666,骨,,骨,10,6,,bone,コツ,ほね
667,駒,,馬,15,S,2010,horse,,こま
668,込,,辵,5,S,,crowded,,こ-む|こ-める
669,頃,,頁,11,S,2010,times,,ころ
670,今,,人,4,2,,now,コン|キン,いま
671,困,,囗,7,6,,become distressed,コン,こま-る
672,昆,,日,8,S,1981,descendants,コン,
673,恨,,心,9,S,,rancor,コン,うら-む|うら-めしい
674,根,,木,10,3,,root,コン,ね
675,婚,,女,11,S,,marriage,コン,
676,混,,水,11,5,,mix,コン,ま-じる|ま-ざる|ま-ぜる|こ-む
677,痕,,疒,11,S,2010,mark,コン,あと
678,紺,,糸,11,S,,dark blue,コン,
679,魂,,鬼,14,S,,soul,コン,たましい
680,墾,,土,16,S,,ground-breaking,コン,
681,懇,,心,17,S,,sociable,コン,ねんご-ろ
682,左,,工,5,1,,left (direction),サ,ひだり
683,佐,,人,7,S,,help,サ,
684,沙,,水,7,S,2010,sand,サ,
685,査,,木,9,5,,investigate,サ,
686,砂,,石,9,6,,sand,サ|シャ,すな
687,唆,,口,10,S,,tempt,サ,そそのか-す
688,差,,工,10,4,,distinction,サ,さ-す
689,詐,,言,12,S,,lie,サ,
690,鎖,,金,18,S,,chain,サ,くさり
691,座,,广,10,6,,sit,ザ,すわ-る
692,挫,,手,10,S,2010,sprain,ザ,
693,才,,手,3,2,,genius,サイ,
694,再,,冂,6,5,,again,サイ|（サ）,ふたた-び
695,災,,火,7,5,,disaster,サイ,わざわ-い
696,妻,,女,8,5,,wife,サイ,つま
697,采,,釆,8,S,2010,form,サイ,
698,砕,碎,石,9,S,,smash,サイ,くだ-く|くだ-ける
699,宰,,宀,10,S,,superintend,サイ,
700,栽,,木,10,S,,plantation,サイ,
701,彩,,彡,11,S,,coloring,サイ,いろど-る
702,採,,手,11,5,,pick,サイ,と-る
703,済,濟,水,11,6,,settle,サイ,す-む|す-ます
704,祭,,示,11,3,,festival,サイ,まつ-る|まつ-り
705,斎,齋,齊,11,S,,purification,サイ,
706,細,,糸,11,2,,thin,サイ,ほそ-い|ほそ-る|こま-か|こま-かい
707,菜,,艸,11,4,,vegetable,サイ,な
708,最,,曰,12,4,,most,サイ,もっと-も
709,裁,,衣,12,6,,judge,サイ,た-つ|さば-く
710,債,,人,13,S,,bond,サイ,
711,催,,人,13,S,,sponsor,サイ,もよお-す
712,塞,,土,13,S,2010,obstruct,サイ|ソク,ふさ-ぐ|ふさ-がる
713,歳,,止,13,S,,year-end,サイ|（セイ）
714,載,,車,13,S,,ride,サイ,の-せる|の-る
715,際,,阜,14,5,,occasion,サイ,きわ
716,埼,,土,11,S,2010,cape (geography),,（さい）
717,在,,土,6,5,,exist,ザイ,あ-る
718,材,,木,7,4,,lumber,ザイ,
719,剤,劑,刀,10,S,,dose,ザイ,
720,財,,貝,10,5,,wealth,ザイ|（サイ）
721,罪,,网,13,5,,guilt,ザイ,つみ
722,崎,,山,11,S,1981,promontory,,さき
723,作,,人,7,2,,make,サク|サ,つく-る
724,削,,刀,9,S,,plane,サク,けず-る
725,昨,,日,9,4,,previous,サク,
726,柵,,木,9,S,2010,fence,サク,
727,索,,糸,10,S,,cord,サク,
728,策,,竹,12,6,,scheme,サク,
729,酢,,酉,12,S,,vinegar,サク,す
730,搾,,手,13,S,,squeeze,サク,しぼ-る
731,錯,,金,16,S,,confused,サク,
732,咲,,口,9,S,,blossom,,さ-く
733,冊,,冂,5,6,,counter for books,サツ|サク,
734,札,,木,5,4,,tag,サツ,ふだ
735,刷,,刀,8,4,,printing,サツ,す-る
736,刹,,刀,8,S,2010,temple,サツ|セツ,
737,拶,,手,9,S,2010,be imminent,サツ,
738,殺,殺,殳,10,4,,kill,サツ|（サイ）|（セツ）,ころ-す
739,察,,宀,14,4,,guess,サツ,
740,撮,,手,15,S,,snapshot,サツ,と-る
741,擦,,手,17,S,,grate,サツ,す-る|す-れる
742,雑,雜,隹,14,5,,miscellaneous,ザツ|ゾウ,
743,皿,,皿,5,3,1981,dish,,さら
744,三,,一,3,1,,three,サン,み|み-つ|みっ-つ
745,山,,山,3,1,,mountain,サン,やま
746,参,參,厶,8,4,,participate,サン,まい-る
747,桟,棧,木,10,S,1981,scaffold,サン,
748,蚕,蠶,虫,10,6,,silkworm,サン,かいこ
749,惨,慘,心,11,S,,wretched,サン|ザン,みじ-め
750,産,,生,11,4,,give birth,サン,う-む|う-まれる|うぶ
751,傘,,人,12,S,1981,umbrella,サン,かさ
752,散,,攴,12,4,,scatter,サン,ち-る|ち-らす|ち-らかす|ち-らかる
753,算,,竹,14,2,,calculate,サン,
754,酸,,酉,14,5,,acid,サン,す-い
755,賛,贊,貝,15,5,,approve,サン,
756,残,殘,歹,10,4,,remainder,ザン,のこ-る|のこ-す
757,斬,,斤,11,S,2010,kill by slicing,ザン,き-る
758,暫,,日,15,S,,temporarily,ザン,
759,士,,士,3,4,,gentleman,シ,
760,子,,子,3,1,,child,シ|ス,こ
761,支,,支,4,5,,branch,シ,ささ-える
762,止,,止,4,2,,stop,シ,と-まる|と-める
763,氏,,氏,4,4,,family name,シ,うじ
764,仕,,人,5,3,,do,シ|（ジ）,つか-える
765,史,,口,5,4,,history,シ,
766,司,,口,5,4,,director,シ,
767,四,,囗,5,1,,four,シ,よ|よ-つ|よっ-つ|よん
768,市,,巾,5,2,,market,シ,いち
769,矢,,矢,5,2,,arrow,シ,や
770,旨,,日,6,S,,delicious,シ,むね
771,死,,歹,6,3,,death,シ,し-ぬ
772,糸,絲,糸,6,1,,thread,シ,いと
773,至,,至,6,6,,climax,シ,いた-る
774,伺,,人,7,S,,pay respects,シ,うかが-う
775,志,,心,7,5,,intention,シ,こころざ-す|こころざし
776,私,,禾,7,6,,me,シ,わたくし|わたし
777,使,,人,8,3,,use,シ,つか-う
778,刺,,刀,8,S,,thorn,シ,さ-す|さ-さる
779,始,,女,8,3,,begin,シ,はじ-める|はじ-まる
780,姉,,女,8,2,,older sister,シ,あね
781,枝,,木,8,5,,branch,シ,えだ
782,祉,祉,示,8,S,,welfare,シ,
783,肢,,肉,8,S,1981,limb,シ,
784,姿,,女,9,6,,figure,シ,すがた
785,思,,心,9,2,,think,シ,おも-う
786,指,,手,9,3,,finger,シ,ゆび|さ-す
787,施,,方,9,S,,carry out,シ|セ,ほどこ-す
788,師,,巾,10,5,,expert,シ,
789,恣,,心,10,S,2010,selfish,シ,
790,紙,,糸,10,2,,paper,シ,かみ
791,脂,,肉,10,S,,fat,シ,あぶら
792,視,視,見,11,6,,look at,シ,
793,紫,,糸,12,S,,purple,シ,むらさき
794,詞,,言,12,6,,poetry,シ,
795,歯,齒,齒,12,3,,tooth,シ,は
796,嗣,,口,13,S,,heir,シ,
797,試,,言,13,4,,test,シ,こころ-みる|ため-す
798,詩,,言,13,3,,poem,シ,
799,資,,貝,13,5,,resources,シ,
800,飼,,食,13,5,,domesticate,シ,か-う
801,誌,,言,14,6,,document,シ,
802,雌,,隹,14,S,,feminine,シ,め|めす
803,摯,,手,15,S,2010,seriousness,シ,
804,賜,,貝,15,S,,grant,シ,たまわ-る
805,諮,,言,16,S,,consult with,シ,はか-る
806,示,,示,5,5,,indicate,ジ|シ,しめ-す
807,字,,子,6,1,,letter,ジ,あざ
808,寺,,寸,6,2,,Buddhist temple,ジ,てら
809,次,,欠,6,3,,next,ジ|シ,つ-ぐ|つぎ
810,耳,,耳,6,1,,ear,ジ,みみ
811,自,,自,6,2,,oneself,ジ|シ,みずか-ら
812,似,,人,7,5,,becoming,ジ,に-る
813,児,兒,儿,7,4,,child,ジ|（ニ）
814,事,,亅,8,3,,abstract thing,ジ|（ズ）,こと
815,侍,,人,8,S,,waiter,ジ,さむらい
816,治,,水,8,4,,govern,ジ|チ,おさ-める|おさ-まる|なお-る|なお-す
817,持,,手,9,3,,hold,ジ,も-つ
818,時,,日,10,2,,time,ジ,とき
819,滋,,水,12,S,,nourishing,ジ,
820,慈,,心,13,S,,mercy,ジ,いつく-しむ
821,辞,辭,辛,13,4,,resign,ジ,や-める
822,磁,,石,14,6,,magnet,ジ,
823,餌,,食,15,S,2010,bait,ジ,えさ|え
824,璽,,玉,19,S,,emperor's seal,ジ,
825,鹿,,鹿,11,S,2010,deer,,しか|（か）
826,式,,弋,6,3,,style,シキ,
827,識,,言,19,5,,discriminating,シキ,
828,軸,,車,12,S,,axis,ジク,
829,七,,一,2,1,,seven,シチ,なな|なな-つ|（なの）
830,𠮟,,口,5,S,2010,scold,シツ,しか-る
831,失,,大,5,4,,lose,シツ,うしな-う
832,室,,宀,9,2,,room,シツ,むろ
833,疾,,疒,10,S,,rapidly,シツ,
834,執,,土,11,S,,tenacious,シツ|シュウ,と-る
835,湿,濕,水,12,S,,damp,シツ,しめ-る|しめ-す
836,嫉,,女,13,S,2010,envy,シツ,
837,漆,,水,14,S,,lacquer,シツ,うるし
838,質,,貝,15,5,,quality,シツ|シチ|（チ）
839,実,實,宀,8,3,,truth,ジツ,み|みの-る
840,芝,,艸,6,S,,turf,,しば
841,写,寫,宀,5,3,,copy,シャ,うつ-す|うつ-る
842,社,社,示,7,2,,company,シャ,やしろ
843,車,,車,7,1,,car,シャ,くるま
844,舎,舍,舌,8,5,,cottage,シャ,
845,者,者,老,8,3,,someone,シャ,もの
846,射,,寸,10,6,,shoot,シャ,い-る
847,捨,,手,11,6,,throw away,シャ,す-てる
848,赦,,赤,11,S,,pardon,シャ,
849,斜,,斗,11,S,,diagonal,シャ,なな-め
850,煮,煮,火,12,S,,boil,シャ,に-る|に-える|に-やす
851,遮,,辵,14,S,1981,intercept,シャ,さえぎ-る
852,謝,,言,17,5,,apologize,シャ,あやま-る
853,邪,,邑,8,S,,wicked,ジャ,
854,蛇,,虫,11,S,1981,snake,ジャ|ダ,へび
855,尺,,尸,4,6,,shaku,シャク,
856,借,,人,10,4,,borrow,シャク,か-りる
857,酌,,酉,10,S,1981,bartending,シャク,く-む
858,釈,釋,釆,11,S,,explanation,シャク,
859,爵,,爪,17,S,,baron,シャク,
860,若,,艸,8,6,,young,ジャク|（ニャク）,わか-い|も-しくは
861,弱,,弓,10,2,,weak,ジャク,よわ-い|よわ-る|よわ-まる|よわ-める
862,寂,,宀,11,S,,loneliness,ジャク|（セキ）,さび|さび-しい|さび-れる
863,手,,手,4,1,,hand,シュ,て|（た）
864,主,,丶,5,3,,master,シュ|（ス）,ぬし|おも
865,守,,宀,6,3,,protect,シュ|（ス）,まも-る|も-り
866,朱,,木,6,S,,vermilion,シュ,
867,取,,又,8,3,,take,シュ,と-る
868,狩,,犬,9,S,,hunt,シュ,か-る|か-り
869,首,,首,9,2,,neck,シュ,くび
870,殊,,歹,10,S,,particularly,シュ,こと
871,珠,,玉,10,S,,pearl,シュ,
872,酒,,酉,10,3,,alcoholic drink,シュ,さけ|（さか）
873,腫,,肉,13,S,2010,tumor,シュ,は-れる|は-らす
874,種,,禾,14,4,,kind,シュ,たね
875,趣,,走,15,S,,gist,シュ,おもむき
876,寿,壽,士,7,S,,longevity,ジュ,ことぶき
877,受,,又,8,3,,accept,ジュ,う-ける|う-かる
878,呪,,口,8,S,2010,curse,ジュ,のろ-う
879,授,,手,11,5,,instruct,ジュ,さず-ける|さず-かる
880,需,,雨,14,S,,demand,ジュ,
881,儒,,人,16,S,,Confucian,ジュ,
882,樹,,木,16,6,,trees,ジュ,
883,収,收,攴,4,6,,take in,シュウ,おさ-める|おさ-まる
884,囚,,囗,5,S,,captured,シュウ,
885,州,,巛,6,3,,state,シュウ,す
886,舟,,舟,6,S,,boat,シュウ,ふね|（ふな）
887,秀,,禾,7,S,,excel,シュウ,ひい-でる
888,周,,口,8,4,,circumference,シュウ,まわ-り
889,宗,,宀,8,6,,religion,シュウ|ソウ,
890,拾,,手,9,3,,pick up,シュウ|ジュウ,ひろ-う
891,秋,,禾,9,2,,autumn,シュウ,あき
892,臭,臭,自,9,S,,stinking,シュウ,くさ-い|にお-う
893,修,,人,10,5,,discipline,シュウ|（シュ）,おさ-める|おさ-まる
894,袖,,衣,10,S,2010,sleeve,シュウ,そで
895,終,,糸,11,3,,end,シュウ,お-わる|お-える
896,羞,,羊,11,S,2010,feel ashamed,シュウ,
897,習,,羽,11,3,,learn,シュウ,なら-う
898,週,,辵,11,2,,week,シュウ,
899,就,,尢,12,6,,concerning,シュウ|（ジュ）,つ-く|つ-ける
900,衆,,血,12,6,,masses,シュウ|（シュ）
901,集,,隹,12,3,,collect,シュウ,あつ-まる|あつ-める|つど-う
902,愁,,心,13,S,,distress,シュウ,うれ-える|うれ-い
903,酬,,酉,13,S,,repay,シュウ,
904,醜,,酉,17,S,,ugly,シュウ,みにく-い
905,蹴,,足,19,S,2010,kick,シュウ,け-る
906,襲,,衣,22,S,,attack,シュウ,おそ-う
907,十,,十,2,1,,ten,ジュウ|ジッ,とお|と
908,汁,,水,5,S,1981,soup,ジュウ,しる
909,充,,儿,6,S,,allot,ジュウ,あ-てる
910,住,,人,7,3,,dwelling,ジュウ,す-む|す-まう
911,柔,,木,9,S,,tender,ジュウ|ニュウ,やわ-らか|やわ-らかい
912,重,,里,9,3,,heavy,ジュウ|チョウ,え|おも-い|かさ-ねる|かさ-なる
913,従,從,彳,10,6,,obey,ジュウ|（ショウ）|（ジュ）,したが-う|したが-える
914,渋,澁,水,11,S,,astringent,ジュウ,しぶ|しぶ-い|しぶ-る
915,銃,,金,14,S,,gun,ジュウ,
916,獣,獸,犬,16,S,,animal,ジュウ,けもの
917,縦,縱,糸,16,6,,vertical,ジュウ,たて
918,叔,,又,8,S,,uncle,シュク,
919,祝,祝,示,9,4,,celebrate,シュク|（シュウ）,いわ-う
920,宿,,宀,11,3,,inn,シュク,やど|やど-る|やど-す
921,淑,,水,11,S,,graceful,シュク,
922,粛,肅,聿,11,S,,solemn,シュク,
923,縮,,糸,17,6,,shrink,シュク,ちぢ-む|ちぢ-まる|ちぢ-める|ちぢ-れる|ちぢ-らす
924,塾,,土,14,S,1981,cram school,ジュク,
925,熟,,火,15,6,,ripen,ジュク,う-れる
926,出,,凵,5,1,,exit,シュツ|（スイ）,で-る|だ-す
927,述,,辵,8,5,,mention,ジュツ,の-べる
928,術,,行,11,5,,art,ジュツ,
929,俊,,人,9,S,,genius,シュン,
930,春,,日,9,2,,springtime,シュン,はる
931,瞬,,目,18,S,,wink,シュン,またた-く
932,旬,,日,6,S,,10-day period (of the month),ジュン|（シュン）
933,巡,,巛,6,S,,patrol,ジュン,めぐ-る
934,盾,,目,9,S,,shield,ジュン,たて
935,准,,冫,10,S,,quasi-,ジュン,
936,殉,,歹,10,S,,martyrdom,ジュン,
937,純,,糸,10,6,,genuine,ジュン,
938,循,,彳,12,S,,sequential,ジュン,
939,順,,頁,12,4,,obey,ジュン,
940,準,,水,13,5,,standard,ジュン,
941,潤,,水,15,S,,wet,ジュン,うるお-う|うるお-す|うる-む
942,遵,,辵,15,S,,abide by,ジュン,
943,処,處,虍,5,6,,dispose,ショ,
944,初,,刀,7,4,,first,ショ,はじ-め|はじ-めて|はつ|うい|そ-める
945,所,,戶,8,3,,place,ショ,ところ
946,書,,曰,10,2,,write,ショ,か-く
947,庶,,广,11,S,,commoner,ショ,
948,暑,暑,日,12,3,,hot,ショ,あつ-い
949,署,署,网,13,6,,government office,ショ,
950,緒,緖,糸,14,S,,thong,ショ|（チョ）,お
951,諸,諸,言,15,6,,various,ショ,
952,女,,女,3,1,,woman,ジョ|ニョ|（ニョウ）,おんな|め
953,如,,女,6,S,,likeness,ジョ|ニョ,
954,助,,力,7,3,,help,ジョ,たす-ける|たす-かる|すけ
955,序,,广,7,5,,preface,ジョ,
956,叙,敍,攴,9,S,,confer,ジョ,
957,徐,,彳,10,S,,gradually,ジョ,
958,除,,阜,10,6,,exclude,ジョ|（ジ）,のぞ-く
959,小,,小,3,1,,small,ショウ,ちい-さい|こ|お
960,升,,十,4,S,,measuring box,ショウ,ます
961,少,,小,4,2,,few,ショウ,すく-ない|すこ-し
962,召,,口,5,S,,summon,ショウ,め-す
963,匠,,匚,6,S,,artisan,ショウ,
964,床,,广,7,S,,bed,ショウ,とこ|ゆか
965,抄,,手,7,S,,extract,ショウ,
966,肖,,肉,7,S,,resemblance,ショウ,
967,尚,,小,8,S,1981,esteem,ショウ,
968,招,,手,8,5,,beckon,ショウ,まね-く
969,承,,手,8,5,,acquiesce,ショウ,うけたまわ-る
970,昇,,日,8,S,,rise up,ショウ,のぼ-る
971,松,,木,8,4,,pine,ショウ,まつ
972,沼,,水,8,S,,marsh,ショウ,ぬま
973,昭,,日,9,3,,shining,ショウ,
974,宵,,宀,10,S,1981,wee hours,ショウ,よい
975,将,將,寸,10,6,,leader,ショウ,
976,消,,水,10,3,,extinguish,ショウ,き-える|け-す
977,症,,疒,10,S,,symptoms,ショウ,
978,祥,祥,示,10,S,,auspicious,ショウ,
979,称,稱,禾,10,S,,appellation,ショウ,
980,笑,,竹,10,4,,laugh,ショウ,わら-う|え-む
981,唱,,口,11,4,,chant,ショウ,とな-える
982,商,,口,11,3,,sell,ショウ,あきな-う
983,渉,涉,水,11,S,,ford,ショウ,
984,章,,立,11,3,,chapter,ショウ,
985,紹,,糸,11,S,,introduce,ショウ,
986,訟,,言,11,S,,sue,ショウ,
987,勝,,力,12,3,,win,ショウ,か-つ|まさ-る
988,掌,,手,12,S,,manipulate,ショウ,
989,晶,,日,12,S,,sparkle,ショウ,
990,焼,燒,火,12,4,,bake,ショウ,や-く|や-ける
991,焦,,火,12,S,,char,ショウ,こ-げる|こ-がす|こ-がれる|あせ-る
992,硝,,石,12,S,,nitrate,ショウ,
993,粧,,米,12,S,,cosmetics,ショウ,
994,詔,,言,12,S,,imperial edict,ショウ,みことのり
995,証,證,言,12,5,,evidence,ショウ,
996,象,,豕,12,4,,elephant,ショウ|ゾウ,
997,傷,,人,13,6,,wound,ショウ,きず|いた-む|いた-める
998,奨,奬,大,13,S,,exhort,ショウ,
999,照,,火,13,4,,illuminate,ショウ,て-る|て-らす|て-れる
1000,詳,,言,13,S,,detailed,ショウ,くわ-しい
1001,彰,,彡,14,S,,patent,ショウ,
1002,障,,阜,14,6,,hurt,ショウ,さわ-る
1003,憧,,心,15,S,2010,desire,ショウ,あこが-れる
1004,衝,,行,15,S,,collide,ショウ,
1005,賞,,貝,15,4,,prize,ショウ,
1006,償,,人,17,S,,reparation,ショウ,つぐな-う
1007,礁,,石,17,S,,reef,ショウ,
1008,鐘,,金,20,S,,bell,ショウ,かね
