char	codepoint	readings
艑	U+8251	biển
艒	U+8252	mạo|mục
艓	U+8253	điệp
艕	U+8255	bàng|báng
艖	U+8256	xoa
艗	U+8257	dật|ích
艘	U+8258	sưu|tao
艙	U+8259	thương
艚	U+825A	tào|tàu
艛	U+825B	lâu
艞	U+825E	cân|diệu|thiếu
艟	U+825F	xuồng|đồng
艢	U+8262	tường
艣	U+8263	lỗ
艤	U+8264	nghĩ
艦	U+8266	hạm
艧	U+8267	hộ
艨	U+8268	mông
艩	U+8269	lỗ|tề
艪	U+826A	lỗ
艫	U+826B	lô
艬	U+826C	sàm
艭	U+826D	sang
艮	U+826E	cân|cấn|cẩn
良	U+826F	lương
艰	U+8270	gian
艱	U+8271	gian
色	U+8272	sắc
艳	U+8273	diễm
艴	U+8274	phất|phật
艵	U+8275	diễm|phanh
艶	U+8276	diễm
艷	U+8277	diêm|diễm|diệm
艸	U+8278	tháu|thảo
艹	U+8279	chấp|nghệ|thảo
艺	U+827A	nghệ|vân|ớt
艽	U+827D	bông|cưu|cừu|giao
艾	U+827E	nghệ|ngải
艿	U+827F	nhứng|nãi|nẩy|ạc
芀	U+8280	tiết|điêu
节	U+8282	tiết|tiệt
芃	U+8283	bông|bồng|ngải
芄	U+8284	hoàn
芈	U+8288	dương|mị|nhị
芊	U+828A	thiên
芋	U+828B	dụ|hu|vu
芌	U+828C	dụ|hu|vu
芍	U+828D	thược
芎	U+828E	khung
芏	U+828F	đỗ
芐	U+8290	hạ
芑	U+8291	khỉ
芒	U+8292	mang|vong
芔	U+8294	húy|hương|hủy|tập
芗	U+8297	hương
芘	U+8298	tý|tất|tỉ|tỷ
芙	U+8299	phù
芚	U+829A	bưu|truân|vu|đồn
芛	U+829B	toàn
芜	U+829C	vu
芝	U+829D	chi
芞	U+829E	khất
芟	U+829F	sam
芠	U+82A0	giao
芡	U+82A1	khiếm
芣	U+82A3	búp|phù
芤	U+82A4	khâu|khưu|tước
芥	U+82A5	giới
芦	U+82A6	lô|lư
芧	U+82A7	trữ|tự
芨	U+82A8	cấp|cập
芩	U+82A9	cầm|tham
芪	U+82AA	kì|kỳ
芫	U+82AB	diêm|nguyên
芬	U+82AC	phân|phần
芭	U+82AD	ba
芮	U+82AE	nhuế|nối
芯	U+82AF	tâm
芰	U+82B0	chi|kị|kỵ
花	U+82B1	hoa
芲	U+82B2	hoa
芳	U+82B3	phương
芴	U+82B4	hốt|vật
芵	U+82B5	quyết
芷	U+82B7	chỉ
芸	U+82B8	vân
芹	U+82B9	cân|cần
芺	U+82BA	yêu|áo|ảo
芻	U+82BB	so|sô|trâu
芼	U+82BC	mao|mào|mạo|thôi
芽	U+82BD	nha
芾	U+82BE	nào|phí|phất|phế|phị
芿	U+82BF	nhăng|nhưng|nhứng|vi|vĩ
苁	U+82C1	thung
苃	U+82C3	bạt
苄	U+82C4	vi
苅	U+82C5	ngải
苇	U+82C7	vi|vĩ
苈	U+82C8	lịch
苋	U+82CB	hiện
苌	U+82CC	trành|trường
苍	U+82CD	thương|thưởng
苎	U+82CE	ninh|trữ
苏	U+82CF	tô|tố
苐	U+82D0	di|đề|đệ
苑	U+82D1	oản|uyển|uân|uất|uẩn
苒	U+82D2	nhiêm|nhiễm
苓	U+82D3	linh
苔	U+82D4	thai|đài|đầy
苕	U+82D5	thiều|điều
苖	U+82D6	miêu|địch
苗	U+82D7	meo|miêu
苘	U+82D8	khoảnh|quýnh
苙	U+82D9	lập|rợp
苛	U+82DB	ha|hà|kha|mục
苜	U+82DC	mục
苝	U+82DD	bấc
苞	U+82DE	bao|bào
苟	U+82DF	cẩu
苠	U+82E0	mân
苡	U+82E1	dĩ
苢	U+82E2	dĩ
苣	U+82E3	cử|cự
苤	U+82E4	phi|phiết
若	U+82E5	nhã|nhược
苦	U+82E6	khổ
苧	U+82E7	ninh|trẫm|trữ
苨	U+82E8	nễ
苪	U+82EA	bính
苫	U+82EB	chiêm|chôm|thiêm|thiệm
苬	U+82EC	bản|tù
苭	U+82ED	ấu
苯	U+82EF	bản|bổn
英	U+82F1	anh
苲	U+82F2	nghêu|rạ
苳	U+82F3	rong|đông
苴	U+82F4	thư|thỏ|tra|trạ|tô|tư
苶	U+82F6	hùa|niết
苷	U+82F7	đại
苹	U+82F9	biền|bình|phanh|tần
苺	U+82FA	môi
苻	U+82FB	bồ|phù|phục
苽	U+82FD	cô
苾	U+82FE	bí|bật|tất
苿	U+82FF	mạt|vị
茀	U+8300	phất
茁	U+8301	chuất|truất|đốt
茂	U+8302	mậu|thuật
范	U+8303	phạm
茄	U+8304	gia|già|nhà
茅	U+8305	mao|mâu
茆	U+8306	lữu|mao|mão
茇	U+8307	bái|bát|bạt
茈	U+8308	sài|tử|tỷ
茉	U+8309	mạt
茊	U+830A	ty|tư
茌	U+830C	sậy|trì
茍	U+830D	cẩu|cức
茎	U+830E	hành
茏	U+830F	lung
茐	U+8310	điểu
茑	U+8311	điểu
茓	U+8313	doanh|huyệt
茔	U+8314	doanh|oanh|oánh
茕	U+8315	quỳnh
茖	U+8316	các
茗	U+8317	danh|minh|mính
茘	U+8318	cấn|lệ
茙	U+8319	ngồng
茛	U+831B	cấn|cận
茜	U+831C	thiến|trệ|tây
茝	U+831D	chỉ|sải
茞	U+831E	chỉ|thần
茢	U+8322	liệt
茥	U+8325	khuê
茦	U+8326	kiển|sách|thuốc|tỳ
茧	U+8327	kiển
茨	U+8328	tư|từ|tỳ
茫	U+832B	mang|mương
茬	U+832C	sà|tra|trà|xá
茭	U+832D	dao|diêu|giao|hảo|kích
茯	U+832F	chỉ|phục
茰	U+8330	du
茱	U+8331	chu|thù|tư|từ
茲	U+8332	ty|tư|từ
茳	U+8333	giang
茴	U+8334	hồi
茵	U+8335	nhân
茶	U+8336	trà
茷	U+8337	bái|phệ
茸	U+8338	nhung|nhĩ|nhũng
茹	U+8339	nhà|như|nhự
茺	U+833A	sung|súng|xung
茻	U+833B	võng
茼	U+833C	đòng|đồng
茿	U+833F	trúc
荀	U+8340	tuân
荁	U+8341	hoàn
荂	U+8342	hoa
荃	U+8343	thuyên|toàn
荄	U+8344	cai|gai
荅	U+8345	đáp
荆	U+8346	kinh
荇	U+8347	hành|hạnh
荈	U+8348	suyễn|xuyễn
草	U+8349	thảo|tạo
荊	U+834A	hình|kinh|kính
荍	U+834D	kiều|thẩu
荎	U+834E	chuối|trị|đáo
荏	U+834F	nhiệm|nhẫm
荐	U+8350	tiến|trãi|tấn|tồn
荑	U+8351	di|rì|sún|đề|để|đệ
荒	U+8352	hoang
荓	U+8353	bính
荔	U+8354	lệ
荖	U+8356	lão
荘	U+8358	trang
荙	U+8359	đạt
荚	U+835A	giáp
荛	U+835B	nghiêu|nhiêu|nhiễu
荜	U+835C	tất
荝	U+835D	trắc
荞	U+835E	kiều
荟	U+835F	cối|hội|oái
荠	U+8360	tề|tể
荡	U+8361	đãng|đảng
荣	U+8363	vinh
荤	U+8364	huân
荥	U+8365	huỳnh
荦	U+8366	lao|lạc
荧	U+8367	huỳnh
荨	U+8368	kiền|tầm|đàm
荩	U+8369	tẫn
荪	U+836A	tôn
荫	U+836B	âm|ấm
荭	U+836D	hồng
药	U+836F	dược|điếu|ước
荳	U+8373	đậu
荵	U+8375	nhẫn
荷	U+8377	hà|hạ
荸	U+8378	bột|mụt
荺	U+837A	quân|vẫn
荻	U+837B	địch
荼	U+837C	dưa|gia|đồ
荽	U+837D	tuy
莁	U+8381	vu
莂	U+8382	biệt
莃	U+8383	hy
莅	U+8385	lị|lỵ
莆	U+8386	bo|bồ|phủ
莉	U+8389	ly|lê|lị|lợi|lỵ
莊	U+838A	trang
莋	U+838B	tạc
莍	U+838D	ấm
莎	U+838E	sa|ta|toa
莏	U+838F	sa|ta
莐	U+8390	trầm
莑	U+8391	bồng
莒	U+8392	cử
莓	U+8393	mai|môi|mỗi|mội
莔	U+8394	hồi|manh
莕	U+8395	hạnh
莖	U+8396	hành|kính
莘	U+8398	sân|sằn|tân
莙	U+8399	quân|quẫn
莚	U+839A	diên
莛	U+839B	diên|đình
莝	U+839D	tỏa
莞	U+839E	hoàn|hoán|hoãn|hoản|quản|uyển
莠	U+83A0	dửu|dữu|hữu|tú
莢	U+83A2	giáp
莣	U+83A3	mang
莤	U+83A4	du|giậu|súc
莥	U+83A5	nữu
莧	U+83A7	hiện|kiến|nghiễn
莨	U+83A8	lang|lương
莩	U+83A9	biểu|biễu|phu|phù
莪	U+83AA	nga|ngò
莫	U+83AB	bá|mạc|mạch|mộ
莯	U+83AF	móc
莰	U+83B0	khúm|vay
莱	U+83B1	lai
莲	U+83B2	liên
莳	U+83B3	thi|thì
莴	U+83B4	oa
莵	U+83B5	thỏ|thố
莶	U+83B6	hiêm|thiêm
获	U+83B7	hoạch|hoắt|địch
莸	U+83B8	do|du
莹	U+83B9	oánh
莺	U+83BA	oanh
莼	U+83BC	thuần
莽	U+83BD	mãng
莾	U+83BE	mãng
莿	U+83BF	thích
菀	U+83C0	uyển|uất|uẩn
菁	U+83C1	thanh|thiến|tinh
菂	U+83C2	đích
菅	U+83C5	gian|quan
菆	U+83C6	thoàn|toàn|trâu|tưu
菇	U+83C7	cô
菉	U+83C9	lục
菊	U+83CA	cúc
菋	U+83CB	vị
菌	U+83CC	khuân|khuẩn
菍	U+83CD	nấm|đặt
菎	U+83CE	côn|hà
菏	U+83CF	hà
菑	U+83D1	chuy|tai|tri|truy|trí|tư
菓	U+83D3	quả
菔	U+83D4	bặc|phục
菕	U+83D5	hăm|trun
菖	U+83D6	xương
菘	U+83D8	tùng
菙	U+83D9	chủy|trải
菛	U+83DB	môn
菜	U+83DC	thái|thể
菟	U+83DF	tho|thỏ|thố|đồ
菠	U+83E0	ba
菡	U+83E1	hàm|hạm
菢	U+83E2	bão
菣	U+83E3	khẩn
菤	U+83E4	quyển
菧	U+83E7	để
菩	U+83E9	bồ|bội|phụ
菪	U+83EA	đãng
菫	U+83EB	cần|cẩn|cận|ngẩn
菭	U+83ED	đài
華	U+83EF	hoa|hóa
菰	U+83F0	cô
菱	U+83F1	lăng
菲	U+83F2	phi|phỉ
菴	U+83F4	am|ám
菶	U+83F6	bồng|bổng|phụng
菷	U+83F7	chửu
菸	U+83F8	yên|ư
菹	U+83F9	thư|trư
菺	U+83FA	kiên|thảm
菻	U+83FB	lâm|lùm
菼	U+83FC	thảm
菽	U+83FD	thúc|thục|điềm
菾	U+83FE	điềm
菿	U+83FF	đáo
萁	U+8401	cơ|ki|ky|kỳ
萃	U+8403	thúy|túy|tụy
萄	U+8404	đào
萅	U+8405	xuân
萆	U+8406	bế|bề|tì|tích|tý|tỳ
萇	U+8407	trành|trường
萉	U+8409	ba|phì|phỉ
萊	U+840A	lai
萋	U+840B	thê
萌	U+840C	manh|minh
萍	U+840D	bình|bềnh
萎	U+840E	nuy|nùy|uy|ủy
萏	U+840F	diễm|đạm|đảm
萐	U+8410	tiệp
萑	U+8411	chuy|hoàn
萕	U+8415	tề|tể
萘	U+8418	nại
萚	U+841A	thác
萜	U+841C	thiếp
萝	U+841D	la
萟	U+841F	vân
萠	U+8420	manh
萡	U+8421	bạc
萤	U+8424	huỳnh
营	U+8425	dinh|doanh
萦	U+8426	oanh
萧	U+8427	tiêu
萨	U+8428	tát
萩	U+8429	tho|thu|thèm
萫	U+842B	hảng
萬	U+842C	mặc|vạn
萭	U+842D	câu|vũ|vạn
萯	U+842F	quàn
萱	U+8431	hiên|huyên
萲	U+8432	huyên
萴	U+8434	trải|trắc
萵	U+8435	oa
萶	U+8436	xuân
萷	U+8437	tiêu
萸	U+8438	du|dữu
萹	U+8439	biển|phiên|tô
萻	U+843B	am|âm
萼	U+843C	ngạc
落	U+843D	lạc|lạo
萾	U+843E	giềng
葀	U+8440	tràm
葄	U+8444	tộ
葅	U+8445	thư
葆	U+8446	bao|bảo
葇	U+8447	nhu|nhú
葉	U+8449	diếp|diệp|hiệp|hiệt
葊	U+844A	am
葋	U+844B	cù
葌	U+844C	gian
葍	U+844D	phúc
葎	U+844E	luật
葐	U+8450	phần
葑	U+8451	phong|phúng|phụng
葒	U+8452	hồng
葓	U+8453	hồng
葖	U+8456	nhút|đột
著	U+8457	trước|trứ|trữ
葘	U+8458	chuy|tai|tri|truy
葙	U+8459	tương
葚	U+845A	nhẫm|thấm|thầm|thậm|thập
葛	U+845B	cát
葝	U+845D	kinh|kính
葟	U+845F	hoàng|sâm|thác
葠	U+8460	sâm
葡	U+8461	bồ|tứ
葢	U+8462	cái|hạp
董	U+8463	đồng|đổng
葥	U+8465	tiễn
葦	U+8466	vi|vĩ
葧	U+8467	bột
葩	U+8469	ba
葪	U+846A	khuyển|trảo
葫	U+846B	hồ
葬	U+846C	táng
葭	U+846D	gia|hà|hạ
葯	U+846F	dược|điếu|ước
葰	U+8470	tuấn
葱	U+8471	song|thông
葳	U+8473	uy
葴	U+8474	châm
葵	U+8475	quỳ
葶	U+8476	đình
葷	U+8477	huân
葸	U+8478	tơi|tỉ|tỷ
葹	U+8479	thi
葺	U+847A	trải|tập
葻	U+847B	bông
葼	U+847C	thủ|tài|tông
葽	U+847D	yêu
蒀	U+8480	uân
蒁	U+8481	thảo
蒂	U+8482	đế
蒇	U+8487	siển|sản|xiển
蒉	U+8489	khoái|quỹ
蒋	U+848B	tương|tưởng
蒌	U+848C	liễu|lâu|lũ
蒍	U+848D	phái|vĩ|vị
蒎	U+848E	phái
蒐	U+8490	sưu
蒒	U+8492	sư
蒓	U+8493	thuần
蒔	U+8494	thi|thì|thời
蒕	U+8495	uân
蒗	U+8497	lang|lãng|lạng
蒙	U+8499	bàng|mông
蒜	U+849C	toán|tỏi
蒝	U+849D	diêm
蒞	U+849E	lị|lỵ
蒟	U+849F	củ
蒠	U+84A0	tức
蒡	U+84A1	bàng|bảng
蒢	U+84A2	trừ
蒣	U+84A3	dừa
蒤	U+84A4	hậu|đồ
蒥	U+84A5	hậu
蒦	U+84A6	hoạch
蒧	U+84A7	điểm
蒨	U+84A8	khiếm|thiến|xuyến
蒩	U+84A9	tô
蒪	U+84AA	thuần
蒭	U+84AD	sô
蒮	U+84AE	dục
蒯	U+84AF	khoái|sần
蒱	U+84B1	bồ
蒲	U+84B2	bạc|bồ
蒴	U+84B4	sóc
蒵	U+84B5	hệ
蒶	U+84B6	phần
蒷	U+84B7	vân
蒸	U+84B8	chưng
蒹	U+84B9	kiêm
蒺	U+84BA	tật
蒻	U+84BB	nhược
蒼	U+84BC	thương|thưởng
蒽	U+84BD	ân
蒿	U+84BF	cao|hao
蓀	U+84C0	tôn
蓁	U+84C1	trân|trăn
蓂	U+84C2	minh
蓃	U+84C3	sấu
蓄	U+84C4	súc
蓅	U+84C5	lưu
蓆	U+84C6	tịch
蓇	U+84C7	cốt|tê
蓉	U+84C9	dong|dung|rong
蓊	U+84CA	ông|ống|ổng
蓋	U+84CB	cái|hạp
蓌	U+84CC	thố
蓍	U+84CD	thi
蓏	U+84CF	lõa|lỏa
蓐	U+84D0	dối|nhục|nóc
蓑	U+84D1	soa|tai|thoa|toa|tuy|xoa
蓓	U+84D3	bội|bụi
蓖	U+84D6	bế|bề|tỳ
蓘	U+84D8	cổn|lam
蓝	U+84DD	lam
蓟	U+84DF	kế
蓠	U+84E0	ly
蓡	U+84E1	sâm
蓣	U+84E3	dụ|dự
蓤	U+84E4	thoái|thối
蓥	U+84E5	oánh
蓦	U+84E6	mạch
蓧	U+84E7	điếu|điều|điệu|địch
蓨	U+84E8	tu|điều|điệu
蓩	U+84E9	thính
蓪	U+84EA	thông
蓫	U+84EB	trục
蓬	U+84EC	bồng
蓮	U+84EE	liên|sen
蓯	U+84EF	thung
蓰	U+84F0	bình|si|tỉ|tỷ
蓱	U+84F1	bình
蓲	U+84F2	âu
蓳	U+84F3	cẩn|thuần
蓴	U+84F4	thuần
蓶	U+84F6	dụy|suy|thôi
蓷	U+84F7	suy|thôi
蓺	U+84FA	nghệ|vân
蓻	U+84FB	bánh|giấp
蓼	U+84FC	liễu|liệu|lục
蓽	U+84FD	tất
蓿	U+84FF	súc|túc
蔀	U+8500	bộ
蔂	U+8502	luy
蔅	U+8505	nghiên
蔆	U+8506	lăng
蔇	U+8507	ký|tràm
蔈	U+8508	phiêu
蔉	U+8509	cổn|tốc
蔊	U+850A	hán
蔋	U+850B	địch
蔌	U+850C	tốc
蔎	U+850E	thiết
蔏	U+850F	nan|địch
蔐	U+8510	địch
蔑	U+8511	miệt
蔓	U+8513	man|mơn|mạn
蔔	U+8514	bặc|bốc|bồ
蔕	U+8515	đế|đới
蔗	U+8517	giá
蔘	U+8518	sam|sâm|tam
蔙	U+8519	toàn
蔚	U+851A	uất|úy
蔞	U+851E	liễu|lâu|lô|lũ
蔟	U+851F	thốc
蔠	U+8520	chung|chông
蔡	U+8521	sái|thái|tát
蔣	U+8523	tương|tưởng
蔤	U+8524	mật
蔥	U+8525	thông
蔦	U+8526	điểu
蔨	U+8528	quyển
蔩	U+8529	dần
蔪	U+852A	sam|thính|tiêm
蔫	U+852B	yên
蔬	U+852C	sơ|đạt
蔭	U+852D	âm|ấm
蔯	U+852F	trần
蔰	U+8530	thiên
蔱	U+8531	sát
蔴	U+8534	ma
蔵	U+8535	tàng|tạng
蔷	U+8537	sắc|tường
蔸	U+8538	đâu
蔹	U+8539	liêm|liễm
蔺	U+853A	lận
蔻	U+853B	khấu
蔼	U+853C	ái
蔽	U+853D	phất|tế
蔾	U+853E	lê|vĩ
蔿	U+853F	vĩ|vị
蕁	U+8541	kiền|tùm|tầm|đàm
蕃	U+8543	phan|phiên|phiền|phồn
蕄	U+8544	muống
蕅	U+8545	ngẫu
蕆	U+8546	siển|sản|xiển
蕈	U+8548	huân|khuẩn|nấm|tẩm
蕉	U+8549	tiêu
蕊	U+854A	nhị|nhụy
蕋	U+854B	nhị|nhụy
蕍	U+854D	du
蕎	U+854E	di|kiều|kiệu|ướm
蕐	U+8550	hoa
蕑	U+8551	gian|đắng
蕓	U+8553	vân
蕕	U+8555	do|du
蕖	U+8556	cừ
蕗	U+8557	lộ
蕘	U+8558	nghiêu|nhiêu|nhiễu
蕙	U+8559	huệ|tuệ
蕚	U+855A	ngạc
蕝	U+855D	toát|tuyệt
蕞	U+855E	tỏi|tối|tụi
蕟	U+855F	phát
蕠	U+8560	như
蕡	U+8561	phần
蕢	U+8562	khoái|quý|quỹ
蕣	U+8563	thuấn
蕤	U+8564	nhuy
蕥	U+8565	đạo
蕨	U+8568	quyết
蕩	U+8569	đãng|đảng
蕪	U+856A	vu
蕫	U+856B	cận
蕬	U+856C	túi
蕭	U+856D	tiêu
蕮	U+856E	gian|tích|uẩn|ôn
蕰	U+8570	uẩn|ôn
蕱	U+8571	sảo
蕲	U+8572	cần|kỳ
蕳	U+8573	gian
蕴	U+8574	uấn|uẩn|ôn
蕷	U+8577	dụ|dự|nhựa
蕸	U+8578	hà
蕹	U+8579	ung|úng|ủng
蕺	U+857A	trấp
蕻	U+857B	hống|hồng
蕾	U+857E	lôi|lỗi|lội
蕿	U+857F	huyên
薀	U+8580	uẩn|ôn
薂	U+8582	hịch
薃	U+8583	hạo
薄	U+8584	bác|bạc
薅	U+8585	cao|hao
薆	U+8586	nhúc|vi|ái
薇	U+8587	vi
薈	U+8588	cói|cối|hội|oái
薉	U+8589	uế
薊	U+858A	kế
薋	U+858B	tư
薌	U+858C	hương
薍	U+858D	loạn|uyển
薏	U+858F	é|ý
薐	U+8590	lăng
薑	U+8591	gừng|khương
薓	U+8593	sâm
薔	U+8594	sắc|tiết|tường
薕	U+8595	liêm|rơm
薖	U+8596	khoa|oa|qua|đạt
薗	U+8597	viên
薘	U+8598	đạt
薙	U+8599	thế|trĩ
薛	U+859B	tiết
薜	U+859C	bách|bích|bệ|phách
薝	U+859D	chiêm|tương|đảm
薟	U+859F	dung|hiêm|liễm|thiêm
薠	U+85A0	phiền
薢	U+85A2	giải
薤	U+85A4	giới|đới
薦	U+85A6	tiến|trãi|tấn
薧	U+85A7	hao|hảo|khảo
薨	U+85A8	hoăng|hoằng
薩	U+85A9	tát
薪	U+85AA	tân
薫	U+85AB	huân
薬	U+85AC	dược|ước
薮	U+85AE	tẩu
薯	U+85AF	thự
薰	U+85B0	huân
薱	U+85B1	đối
薲	U+85B2	bình|phanh
薳	U+85B3	vĩ|vị
薴	U+85B4	ninh|trữ
薶	U+85B6	mai
薷	U+85B7	nho|nhu
薸	U+85B8	phiêu
薹	U+85B9	đài
薺	U+85BA	tê|tề|tể|tễ
薻	U+85BB	tảo
薽	U+85BD	chân
薾	U+85BE	nhĩ|niết
薿	U+85BF	nghĩ
藁	U+85C1	cao|cảo
藂	U+85C2	tùng
藃	U+85C3	háo
藇	U+85C7	tự
藈	U+85C8	quỳ|tố
藉	U+85C9	chạ|tá|tạ|tịch
藊	U+85CA	biển
藋	U+85CB	điệu
藍	U+85CD	lam|tẫn
藎	U+85CE	tẫn|tận
藏	U+85CF	tàng|tạng
藐	U+85D0	diểu|miểu|miễu|mạc|mạo
藑	U+85D1	quỳnh|tiển
藓	U+85D3	tiển
藕	U+85D5	ngó|ngẫu
藗	U+85D7	lư|tốc
藘	U+85D8	lư|lự
藙	U+85D9	nghị
藚	U+85DA	tục|độc
藛	U+85DB	tả
藜	U+85DC	lê
藝	U+85DD	nghệ|vân
藞	U+85DE	lủi
藟	U+85DF	lũy
藣	U+85E3	bi
藤	U+85E4	đằng
藥	U+85E5	dược|điếu|ước
藦	U+85E6	ma
藩	U+85E9	phan|phiên
藪	U+85EA	sú|tẩu
藫	U+85EB	đàm
藭	U+85ED	cùng
藯	U+85EF	úy
藳	U+85F3	cảo
藴	U+85F4	uấn|uẩn
藶	U+85F6	lịch
藷	U+85F7	chử|thử|thự
藸	U+85F8	chư|trư
藹	U+85F9	ái
藺	U+85FA	lận
藻	U+85FB	tảo
藼	U+85FC	huyên
藾	U+85FE	lại
藿	U+85FF	hoắc|hoắt
蘀	U+8600	thác
蘁	U+8601	ngạc|ngộ
蘂	U+8602	nhị|nhụy
蘃	U+8603	nhị|nhụy
蘄	U+8604	cần|kì|kỳ
蘅	U+8605	hoành|hành
蘆	U+8606	lô|lư
蘇	U+8607	to|tô|tố
蘉	U+8609	mang
蘊	U+860A	uấn|uẩn|ôn
蘋	U+860B	bình|phanh|tần
蘌	U+860C	ngự
蘐	U+8610	huyên
蘑	U+8611	ma
蘓	U+8613	tô
蘖	U+8616	bách|nghiệt
蘗	U+8617	bá|bách|bích|nghiệt|phế
蘘	U+8618	nhương
蘚	U+861A	tiển
蘝	U+861D	liêm|liễm|lém
蘞	U+861E	liêm|liễm
蘟	U+861F	ẩn
蘠	U+8620	tường
蘡	U+8621	anh
蘢	U+8622	lung|lùng
蘤	U+8624	hoa|vị
蘥	U+8625	dược
蘦	U+8626	linh
蘧	U+8627	cừ
蘩	U+8629	phiền|phồn
蘪	U+862A	mi
蘭	U+862D	lan
蘯	U+862F	đãng
蘳	U+8633	hoạch
蘵	U+8635	chức
蘷	U+8637	mạc|quỳ
蘸	U+8638	tiếu|tiều|trám
蘺	U+863A	li|loe|ly
蘼	U+863C	mi
蘽	U+863D	lũy
蘿	U+863F	la|lá
虀	U+8640	tê|tễ
虁	U+8641	quỳ
虆	U+8646	luy|đà
虇	U+8647	quyền|tra
虋	U+864B	hấn
虌	U+864C	biết
虍	U+864D	hô|hổ
虎	U+864E	hổ
虏	U+864F	lỗ
虐	U+8650	ngược
虑	U+8651	lư|lục|lự
虒	U+8652	ty|tư
虓	U+8653	hao|khiêu
虔	U+8654	kiền
處	U+8655	xú|xứ|xử
虖	U+8656	hô
虗	U+8657	hư
虘	U+8658	ta
虙	U+8659	mật|phục
虚	U+865A	hư|khư
虛	U+865B	hư|khư
虜	U+865C	lỗ
虝	U+865D	hổ
虞	U+865E	ngu
號	U+865F	hiệu|hào
虡	U+8661	cự
虢	U+8662	quách|quắc
虣	U+8663	bạo
虤	U+8664	ngan|ngàn
虥	U+8665	sàn
虦	U+8666	sàn
虧	U+8667	khuy|khuya|ư
虨	U+8668	ban
虩	U+8669	bão|hách|khích
虪	U+866A	thúc
虫	U+866B	hôi|húy|hủy|trùng
虬	U+866C	cầu|gù
虭	U+866D	bưu|kỷ|điêu
虮	U+866E	kỳ|kỷ
虯	U+866F	cù|cầu|di
虰	U+8670	đinh
虱	U+8671	sắt
虵	U+8675	di|sá|xà
虶	U+8676	vò
虷	U+8677	can|hàn
虸	U+8678	tửa
虹	U+8679	hống|hồng
虺	U+867A	hôi|húy|hủy
虻	U+867B	mang|manh
虼	U+867C	khất
虽	U+867D	tuy
虾	U+867E	hà
虿	U+867F	mại|sái
蚀	U+8680	thặc|thực
蚁	U+8681	nghĩ|nghị
蚂	U+8682	ma|mã
蚃	U+8683	hưởng
蚄	U+8684	phương
蚅	U+8685	ách
蚆	U+8686	ba|xích
蚇	U+8687	xích
蚈	U+8688	khiên
蚊	U+868A	mân|văn
蚋	U+868B	bí|nhuế
蚌	U+868C	bạng
蚍	U+868D	tì|tỳ
蚑	U+8691	kì|kỳ
蚓	U+8693	dẫn|rận
蚔	U+8694	chỉ|kỳ
蚕	U+8695	tàm|tằm
蚖	U+8696	ngoan|nguyên
蚗	U+8697	quyết|tục
蚘	U+8698	du|hồi|u|vưu|ấu
蚚	U+869A	kỳ
蚛	U+869B	trọng
蚜	U+869C	da|gia|nha|nhá
蚝	U+869D	hào|thứ
蚞	U+869E	mộc
蚟	U+869F	phân|vương
蚠	U+86A0	phân|phẫn
蚡	U+86A1	phân|phần|phẫn
蚢	U+86A2	cang|hàng
蚣	U+86A3	công
蚤	U+86A4	tao|trảo|tảo
蚦	U+86A6	nhiêm|thiệm
蚧	U+86A7	giới|nhái
蚨	U+86A8	phù
蚩	U+86A9	si|sế|xi|xuy
蚪	U+86AA	đẩu
蚫	U+86AB	bâu
蚬	U+86AC	hiện
蚯	U+86AF	khâu|khưu
蚰	U+86B0	do|du|dựu
蚱	U+86B1	trách|trạc|tác
蚲	U+86B2	bình
蚳	U+86B3	chì|chỉ|sánh|trì
蚴	U+86B4	du|hà|hồi|u|vưu|ấu
蚵	U+86B5	hà|khá|khả
蚶	U+86B6	cam|ham
蚷	U+86B7	cự
蚹	U+86B9	phụ
蚺	U+86BA	nhiêm|nhiễm
蚻	U+86BB	trát
蚼	U+86BC	câu
蚿	U+86BF	huyền
蛀	U+86C0	chú|chấu
蛁	U+86C1	điêu
蛃	U+86C3	bính
蛄	U+86C4	cô
蛅	U+86C5	chiêm
蛆	U+86C6	thư
蛇	U+86C7	di|sá|xà
蛉	U+86C9	linh
蛊	U+86CA	cổ
蛋	U+86CB	đản
蛌	U+86CC	sai
蛍	U+86CD	huỳnh
蛎	U+86CE	lại|lệ
蛏	U+86CF	sanh
蛐	U+86D0	khúc
蛑	U+86D1	lang|mâu
蛒	U+86D2	cách|cắc
蛓	U+86D3	thích|thứ
蛔	U+86D4	du|hồi|u|vưu|ấu
蛕	U+86D5	hồi
蛖	U+86D6	mang
蛘	U+86D8	dương|dưỡng|dạng
蛙	U+86D9	oa
蛚	U+86DA	liệt
蛛	U+86DB	chu|châu|thù
蛜	U+86DC	y
蛝	U+86DD	hàn
蛞	U+86DE	khoát|khoạt|khạt|quát
蛟	U+86DF	giao
蛣	U+86E3	cát|cô|cật|kiết
蛤	U+86E4	cáp
蛦	U+86E6	di|dơi|nhăn
蛩	U+86E9	cung|cùng|củng
蛫	U+86EB	quỷ
蛬	U+86EC	cung
蛭	U+86ED	chất|chấy|điệt
蛮	U+86EE	man
蛰	U+86F0	chập|trập
蛱	U+86F1	giáp|hiệp|kiệp
蛲	U+86F2	nhiêu
蛳	U+86F3	si|sư|tư
蛴	U+86F4	tề
蛵	U+86F5	kinh
蛸	U+86F8	sao|tiêu
